,leads,accuracy,specificity,sensitivity,f1_score
0,1,0.7952684258416742,0.7372793354101765,0.8404858299595142,0.7855070548335042
1,1_2,0.8202911737943585,0.7715472481827622,0.8582995951417004,0.8126146250615848
2,3,0.8503184713375797,0.8629283489096573,0.8404858299595142,0.8515592490963182
3,6,0.8516833484986351,0.8483904465212876,0.854251012145749,0.8513106431731984
4,12,0.8753412192902639,0.8951194184839044,0.8599190283400809,0.877166220471083
